Year,Commodity,Value_A$m,TradeType
2018,52 Inorganic chemicals ;,1107,Imports
2019,52 Inorganic chemicals ;,1031,Imports
2020,52 Inorganic chemicals ;,1043,Imports
2021,52 Inorganic chemicals ;,1286,Imports
2022,52 Inorganic chemicals ;,3401,Imports
2023,52 Inorganic chemicals ;,2830,Imports
2024,52 Inorganic chemicals ;,2683,Imports
2014,"53 Dyeing, tanning and colouring materials ;",699,Imports
2015,"53 Dyeing, tanning and colouring materials ;",895,Imports
2016,"53 Dyeing, tanning and colouring materials ;",997,Imports
2017,"53 Dyeing, tanning and colouring materials ;",1019,Imports
2018,"53 Dyeing, tanning and colouring materials ;",1111,Imports
2019,"53 Dyeing, tanning and colouring materials ;",1084,Imports
2020,"53 Dyeing, tanning and colouring materials ;",1084,Imports
2021,"53 Dyeing, tanning and colouring materials ;",1152,Imports
2022,"53 Dyeing, tanning and colouring materials ;",1267,Imports
2023,"53 Dyeing, tanning and colouring materials ;",1148,Imports
2024,"53 Dyeing, tanning and colouring materials ;",1265,Imports
2014,54 Medicinal and pharmaceutical products ;,9923,Imports
2015,54 Medicinal and pharmaceutical products ;,10335,Imports
2016,54 Medicinal and pharmaceutical products ;,11226,Imports
2017,54 Medicinal and pharmaceutical products ;,11138,Imports
2018,54 Medicinal and pharmaceutical products ;,11782,Imports
2019,54 Medicinal and pharmaceutical products ;,13112,Imports
2020,54 Medicinal and pharmaceutical products ;,13802,Imports
2021,54 Medicinal and pharmaceutical products ;,14770,Imports
2022,54 Medicinal and pharmaceutical products ;,19106,Imports
2023,54 Medicinal and pharmaceutical products ;,17000,Imports
2024,54 Medicinal and pharmaceutical products ;,17013,Imports
2014,"55 Essential oils and resinoids and perfume materials; toilet, polishing and cleansing preparations ;",2434,Imports
2015,"55 Essential oils and resinoids and perfume materials; toilet, polishing and cleansing preparations ;",2916,Imports
2016,"55 Essential oils and resinoids and perfume materials; toilet, polishing and cleansing preparations ;",2938,Imports
2017,"55 Essential oils and resinoids and perfume materials; toilet, polishing and cleansing preparations ;",3084,Imports
2018,"55 Essential oils and resinoids and perfume materials; toilet, polishing and cleansing preparations ;",3595,Imports
2019,"55 Essential oils and resinoids and perfume materials; toilet, polishing and cleansing preparations ;",3865,Imports
2020,"55 Essential oils and resinoids and perfume materials; toilet, polishing and cleansing preparations ;",3970,Imports
2021,"55 Essential oils and resinoids and perfume materials; toilet, polishing and cleansing preparations ;",3861,Imports
2022,"55 Essential oils and resinoids and perfume materials; toilet, polishing and cleansing preparations ;",4657,Imports
2023,"55 Essential oils and resinoids and perfume materials; toilet, polishing and cleansing preparations ;",5168,Imports
2024,"55 Essential oils and resinoids and perfume materials; toilet, polishing and cleansing preparations ;",5566,Imports
2014,56 Fertilisers (excl. those of group 272) ;,1763,Imports
2015,56 Fertilisers (excl. those of group 272) ;,1865,Imports
2016,56 Fertilisers (excl. those of group 272) ;,1682,Imports
2017,56 Fertilisers (excl. those of group 272) ;,1640,Imports
2018,56 Fertilisers (excl. those of group 272) ;,1915,Imports
2019,56 Fertilisers (excl. those of group 272) ;,2150,Imports
2020,56 Fertilisers (excl. those of group 272) ;,2122,Imports
2021,56 Fertilisers (excl. those of group 272) ;,3289,Imports
2022,56 Fertilisers (excl. those of group 272) ;,5706,Imports
2023,56 Fertilisers (excl. those of group 272) ;,3561,Imports
2024,56 Fertilisers (excl. those of group 272) ;,4645,Imports
2014,57 Plastics in primary forms ;,1908,Imports
2015,57 Plastics in primary forms ;,1964,Imports
2016,57 Plastics in primary forms ;,1958,Imports
2017,57 Plastics in primary forms ;,2109,Imports
2018,57 Plastics in primary forms ;,2460,Imports
2019,57 Plastics in primary forms ;,2211,Imports
2020,57 Plastics in primary forms ;,2138,Imports
2021,57 Plastics in primary forms ;,2677,Imports
2022,57 Plastics in primary forms ;,3148,Imports
2023,57 Plastics in primary forms ;,2728,Imports
2024,57 Plastics in primary forms ;,2957,Imports
2014,58 Plastics in non-primary forms ;,1729,Imports
2015,58 Plastics in non-primary forms ;,1977,Imports
2016,58 Plastics in non-primary forms ;,1947,Imports
2017,58 Plastics in non-primary forms ;,1994,Imports
2018,58 Plastics in non-primary forms ;,2196,Imports
2019,58 Plastics in non-primary forms ;,2226,Imports
2020,58 Plastics in non-primary forms ;,2294,Imports
2021,58 Plastics in non-primary forms ;,2448,Imports
2022,58 Plastics in non-primary forms ;,2866,Imports
2023,58 Plastics in non-primary forms ;,2703,Imports
2024,58 Plastics in non-primary forms ;,2840,Imports
2014,"59 Chemical materials and products, nes ;",2857,Imports
2015,"59 Chemical materials and products, nes ;",2902,Imports
2016,"59 Chemical materials and products, nes ;",2978,Imports
2017,"59 Chemical materials and products, nes ;",3131,Imports
2018,"59 Chemical materials and products, nes ;",3161,Imports
2019,"59 Chemical materials and products, nes ;",3090,Imports
2020,"59 Chemical materials and products, nes ;",4167,Imports
2021,"59 Chemical materials and products, nes ;",4490,Imports
2022,"59 Chemical materials and products, nes ;",7484,Imports
2023,"59 Chemical materials and products, nes ;",4973,Imports
2024,"59 Chemical materials and products, nes ;",5338,Imports
2014,6 Manufactured goods classified chiefly by material ;,28807,Imports
2015,6 Manufactured goods classified chiefly by material ;,32521,Imports
2016,6 Manufactured goods classified chiefly by material ;,28223,Imports
2017,6 Manufactured goods classified chiefly by material ;,28701,Imports
2018,6 Manufactured goods classified chiefly by material ;,32443,Imports
2019,6 Manufactured goods classified chiefly by material ;,32286,Imports
2020,6 Manufactured goods classified chiefly by material ;,34399,Imports
2021,6 Manufactured goods classified chiefly by material ;,36977,Imports
2022,6 Manufactured goods classified chiefly by material ;,44021,Imports
2023,6 Manufactured goods classified chiefly by material ;,40640,Imports
2024,6 Manufactured goods classified chiefly by material ;,43618,Imports
2014,"61 Leather, leather manufactures, nes, and dressed furskins ;",176,Imports
2015,"61 Leather, leather manufactures, nes, and dressed furskins ;",214,Imports
2016,"61 Leather, leather manufactures, nes, and dressed furskins ;",164,Imports
2017,"61 Leather, leather manufactures, nes, and dressed furskins ;",160,Imports
2018,"61 Leather, leather manufactures, nes, and dressed furskins ;",154,Imports
2019,"61 Leather, leather manufactures, nes, and dressed furskins ;",143,Imports
2020,"61 Leather, leather manufactures, nes, and dressed furskins ;",135,Imports
2021,"61 Leather, leather manufactures, nes, and dressed furskins ;",174,Imports
2022,"61 Leather, leather manufactures, nes, and dressed furskins ;",202,Imports
2023,"61 Leather, leather manufactures, nes, and dressed furskins ;",176,Imports
2024,"61 Leather, leather manufactures, nes, and dressed furskins ;",150,Imports
2014,"62 Rubber manufactures, nes ;",3425,Imports
2015,"62 Rubber manufactures, nes ;",3483,Imports
2016,"62 Rubber manufactures, nes ;",3399,Imports
2017,"62 Rubber manufactures, nes ;",3580,Imports
2018,"62 Rubber manufactures, nes ;",3966,Imports
2019,"62 Rubber manufactures, nes ;",4242,Imports
2020,"62 Rubber manufactures, nes ;",4089,Imports
2021,"62 Rubber manufactures, nes ;",4349,Imports
2022,"62 Rubber manufactures, nes ;",5123,Imports
2023,"62 Rubber manufactures, nes ;",5189,Imports
2024,"62 Rubber manufactures, nes ;",5553,Imports
2014,63 Cork and wood manufactures (excl. furniture) ;,1050,Imports
2015,63 Cork and wood manufactures (excl. furniture) ;,1250,Imports
2016,63 Cork and wood manufactures (excl. furniture) ;,1305,Imports
2017,63 Cork and wood manufactures (excl. furniture) ;,1408,Imports
2018,63 Cork and wood manufactures (excl. furniture) ;,1596,Imports
2019,63 Cork and wood manufactures (excl. furniture) ;,1517,Imports
2020,63 Cork and wood manufactures (excl. furniture) ;,1419,Imports
2021,63 Cork and wood manufactures (excl. furniture) ;,1678,Imports
2022,63 Cork and wood manufactures (excl. furniture) ;,2045,Imports
2023,63 Cork and wood manufactures (excl. furniture) ;,1733,Imports
2024,63 Cork and wood manufactures (excl. furniture) ;,1776,Imports
2014,"64 Paper, paperboard and articles of paper pulp, of paper or of paperboard ;",2892,Imports
2015,"64 Paper, paperboard and articles of paper pulp, of paper or of paperboard ;",3114,Imports
2016,"64 Paper, paperboard and articles of paper pulp, of paper or of paperboard ;",2999,Imports
2017,"64 Paper, paperboard and articles of paper pulp, of paper or of paperboard ;",2935,Imports
2018,"64 Paper, paperboard and articles of paper pulp, of paper or of paperboard ;",3163,Imports
2019,"64 Paper, paperboard and articles of paper pulp, of paper or of paperboard ;",3336,Imports
2020,"64 Paper, paperboard and articles of paper pulp, of paper or of paperboard ;",3274,Imports
2021,"64 Paper, paperboard and articles of paper pulp, of paper or of paperboard ;",3217,Imports
2022,"64 Paper, paperboard and articles of paper pulp, of paper or of paperboard ;",3802,Imports
2023,"64 Paper, paperboard and articles of paper pulp, of paper or of paperboard ;",3827,Imports
2024,"64 Paper, paperboard and articles of paper pulp, of paper or of paperboard ;",4210,Imports
2014,"65 Textile yarn, fabrics, made-up articles nes, and related products ;",3016,Imports
2015,"65 Textile yarn, fabrics, made-up articles nes, and related products ;",3602,Imports
2016,"65 Textile yarn, fabrics, made-up articles nes, and related products ;",3577,Imports
2017,"65 Textile yarn, fabrics, made-up articles nes, and related products ;",3604,Imports
2018,"65 Textile yarn, fabrics, made-up articles nes, and related products ;",3816,Imports
2019,"65 Textile yarn, fabrics, made-up articles nes, and related products ;",3834,Imports
2020,"65 Textile yarn, fabrics, made-up articles nes, and related products ;",5896,Imports
2021,"65 Textile yarn, fabrics, made-up articles nes, and related products ;",4692,Imports
2022,"65 Textile yarn, fabrics, made-up articles nes, and related products ;",5323,Imports
2023,"65 Textile yarn, fabrics, made-up articles nes, and related products ;",4277,Imports
2024,"65 Textile yarn, fabrics, made-up articles nes, and related products ;",4547,Imports
2014,"66 Non-metallic mineral manufactures, nes ;",3200,Imports
2015,"66 Non-metallic mineral manufactures, nes ;",3670,Imports
2016,"66 Non-metallic mineral manufactures, nes ;",3847,Imports
2017,"66 Non-metallic mineral manufactures, nes ;",3794,Imports
2018,"66 Non-metallic mineral manufactures, nes ;",4038,Imports
2019,"66 Non-metallic mineral manufactures, nes ;",4110,Imports
2020,"66 Non-metallic mineral manufactures, nes ;",3869,Imports
2021,"66 Non-metallic mineral manufactures, nes ;",4281,Imports
2022,"66 Non-metallic mineral manufactures, nes ;",4835,Imports
2023,"66 Non-metallic mineral manufactures, nes ;",4605,Imports
2024,"66 Non-metallic mineral manufactures, nes ;",4466,Imports
2014,67 Iron and steel ;,4439,Imports
2015,67 Iron and steel ;,5041,Imports
2016,67 Iron and steel ;,2532,Imports
2017,67 Iron and steel ;,3059,Imports
2018,67 Iron and steel ;,3901,Imports
2019,67 Iron and steel ;,3271,Imports
2020,67 Iron and steel ;,3134,Imports
2021,67 Iron and steel ;,4050,Imports
2022,67 Iron and steel ;,5214,Imports
2023,67 Iron and steel ;,4746,Imports
2024,67 Iron and steel ;,5953,Imports
2014,68 Non-ferrous metals ;,3032,Imports
2015,68 Non-ferrous metals ;,3025,Imports
2016,68 Non-ferrous metals ;,2691,Imports
2017,68 Non-ferrous metals ;,2479,Imports
2018,68 Non-ferrous metals ;,2775,Imports
2019,68 Non-ferrous metals ;,2874,Imports
2020,68 Non-ferrous metals ;,3596,Imports
2021,68 Non-ferrous metals ;,4056,Imports
2022,68 Non-ferrous metals ;,5023,Imports
2023,68 Non-ferrous metals ;,4174,Imports
2024,68 Non-ferrous metals ;,4284,Imports
2014,"69 Manufactures of metals, nes ;",7580,Imports
2015,"69 Manufactures of metals, nes ;",9127,Imports
2016,"69 Manufactures of metals, nes ;",7710,Imports
2017,"69 Manufactures of metals, nes ;",7685,Imports
2018,"69 Manufactures of metals, nes ;",9039,Imports
2019,"69 Manufactures of metals, nes ;",8957,Imports
2020,"69 Manufactures of metals, nes ;",8988,Imports
2021,"69 Manufactures of metals, nes ;",10479,Imports
2022,"69 Manufactures of metals, nes ;",12450,Imports
2023,"69 Manufactures of metals, nes ;",11917,Imports
2024,"69 Manufactures of metals, nes ;",12678,Imports
2014,7 Machinery and transport equipment ;,94960,Imports
2015,7 Machinery and transport equipment ;,106113,Imports
2016,7 Machinery and transport equipment ;,103332,Imports
2017,7 Machinery and transport equipment ;,117933,Imports
2018,7 Machinery and transport equipment ;,121404,Imports
2019,7 Machinery and transport equipment ;,123286,Imports
2020,7 Machinery and transport equipment ;,119746,Imports
2021,7 Machinery and transport equipment ;,135405,Imports
2022,7 Machinery and transport equipment ;,156900,Imports
2023,7 Machinery and transport equipment ;,173355,Imports
2024,7 Machinery and transport equipment ;,180723,Imports
2014,71 Power generating machinery and equipment ;,4889,Imports
2015,71 Power generating machinery and equipment ;,4517,Imports
2016,71 Power generating machinery and equipment ;,4429,Imports
2017,71 Power generating machinery and equipment ;,4763,Imports
2018,71 Power generating machinery and equipment ;,5936,Imports
2019,71 Power generating machinery and equipment ;,6310,Imports
2020,71 Power generating machinery and equipment ;,5691,Imports
2021,71 Power generating machinery and equipment ;,5352,Imports
2022,71 Power generating machinery and equipment ;,6250,Imports
2023,71 Power generating machinery and equipment ;,7368,Imports
2024,71 Power generating machinery and equipment ;,7931,Imports
2014,72 Machinery specialized for particular industries ;,7087,Imports
2015,72 Machinery specialized for particular industries ;,9391,Imports
2016,72 Machinery specialized for particular industries ;,7665,Imports
2017,72 Machinery specialized for particular industries ;,8870,Imports
2018,72 Machinery specialized for particular industries ;,10484,Imports
2019,72 Machinery specialized for particular industries ;,10688,Imports
2020,72 Machinery specialized for particular industries ;,10600,Imports
2021,72 Machinery specialized for particular industries ;,12971,Imports
2022,72 Machinery specialized for particular industries ;,15810,Imports
2023,72 Machinery specialized for particular industries ;,18321,Imports
2024,72 Machinery specialized for particular industries ;,15322,Imports
2014,73 Metalworking machinery ;,546,Imports
2015,73 Metalworking machinery ;,563,Imports
2016,73 Metalworking machinery ;,595,Imports
2017,73 Metalworking machinery ;,639,Imports
2018,73 Metalworking machinery ;,751,Imports
2019,73 Metalworking machinery ;,864,Imports
2020,73 Metalworking machinery ;,751,Imports
2021,73 Metalworking machinery ;,971,Imports
2022,73 Metalworking machinery ;,1095,Imports
2023,73 Metalworking machinery ;,1171,Imports
2024,73 Metalworking machinery ;,1101,Imports
2014,"74 General industrial machinery and equipment, nes, and machine parts, nes ;",16643,Imports
2015,"74 General industrial machinery and equipment, nes, and machine parts, nes ;",17025,Imports
2016,"74 General industrial machinery and equipment, nes, and machine parts, nes ;",14478,Imports
2017,"74 General industrial machinery and equipment, nes, and machine parts, nes ;",13380,Imports
2018,"74 General industrial machinery and equipment, nes, and machine parts, nes ;",14952,Imports
2019,"74 General industrial machinery and equipment, nes, and machine parts, nes ;",15646,Imports
2020,"74 General industrial machinery and equipment, nes, and machine parts, nes ;",15673,Imports
2021,"74 General industrial machinery and equipment, nes, and machine parts, nes ;",16935,Imports
2022,"74 General industrial machinery and equipment, nes, and machine parts, nes ;",19875,Imports
2023,"74 General industrial machinery and equipment, nes, and machine parts, nes ;",20852,Imports
2024,"74 General industrial machinery and equipment, nes, and machine parts, nes ;",23741,Imports
2014,75 Office machines and automatic data processing machines ;,9877,Imports
2015,75 Office machines and automatic data processing machines ;,11278,Imports
2016,75 Office machines and automatic data processing machines ;,9773,Imports
2017,75 Office machines and automatic data processing machines ;,10489,Imports
2018,75 Office machines and automatic data processing machines ;,11907,Imports
2019,75 Office machines and automatic data processing machines ;,11737,Imports
2020,75 Office machines and automatic data processing machines ;,12455,Imports
2021,75 Office machines and automatic data processing machines ;,13204,Imports
2022,75 Office machines and automatic data processing machines ;,14727,Imports
2023,75 Office machines and automatic data processing machines ;,12531,Imports
2024,75 Office machines and automatic data processing machines ;,14905,Imports
2014,76 Telecommunications and sound recording and reproducing apparatus and equipment ;,12366,Imports
2015,76 Telecommunications and sound recording and reproducing apparatus and equipment ;,14511,Imports
2016,76 Telecommunications and sound recording and reproducing apparatus and equipment ;,14598,Imports
2017,76 Telecommunications and sound recording and reproducing apparatus and equipment ;,15584,Imports
2018,76 Telecommunications and sound recording and reproducing apparatus and equipment ;,17166,Imports
2019,76 Telecommunications and sound recording and reproducing apparatus and equipment ;,17648,Imports
2020,76 Telecommunications and sound recording and reproducing apparatus and equipment ;,17588,Imports
2021,76 Telecommunications and sound recording and reproducing apparatus and equipment ;,17682,Imports
2022,76 Telecommunications and sound recording and reproducing apparatus and equipment ;,20341,Imports
2023,76 Telecommunications and sound recording and reproducing apparatus and equipment ;,20204,Imports
2024,76 Telecommunications and sound recording and reproducing apparatus and equipment ;,20140,Imports
2014,"77 Electrical machinery, apparatus and appliances, nes, and electrical parts thereof (incl. non electrical counterparts, nes, of electrical household type equipment) ;",12018,Imports
2015,"77 Electrical machinery, apparatus and appliances, nes, and electrical parts thereof (incl. non electrical counterparts, nes, of electrical household type equipment) ;",13478,Imports
2016,"77 Electrical machinery, apparatus and appliances, nes, and electrical parts thereof (incl. non electrical counterparts, nes, of electrical household type equipment) ;",13089,Imports
2017,"77 Electrical machinery, apparatus and appliances, nes, and electrical parts thereof (incl. non electrical counterparts, nes, of electrical household type equipment) ;",14637,Imports
2018,"77 Electrical machinery, apparatus and appliances, nes, and electrical parts thereof (incl. non electrical counterparts, nes, of electrical household type equipment) ;",16823,Imports
2019,"77 Electrical machinery, apparatus and appliances, nes, and electrical parts thereof (incl. non electrical counterparts, nes, of electrical household type equipment) ;",17451,Imports
2020,"77 Electrical machinery, apparatus and appliances, nes, and electrical parts thereof (incl. non electrical counterparts, nes, of electrical household type equipment) ;",17885,Imports
2021,"77 Electrical machinery, apparatus and appliances, nes, and electrical parts thereof (incl. non electrical counterparts, nes, of electrical household type equipment) ;",19654,Imports
2022,"77 Electrical machinery, apparatus and appliances, nes, and electrical parts thereof (incl. non electrical counterparts, nes, of electrical household type equipment) ;",23299,Imports
2023,"77 Electrical machinery, apparatus and appliances, nes, and electrical parts thereof (incl. non electrical counterparts, nes, of electrical household type equipment) ;",23989,Imports
2024,"77 Electrical machinery, apparatus and appliances, nes, and electrical parts thereof (incl. non electrical counterparts, nes, of electrical household type equipment) ;",28339,Imports
2014,78 Road vehicles (incl. air-cushion vehicles) ;,28533,Imports
2015,78 Road vehicles (incl. air-cushion vehicles) ;,32660,Imports
2016,78 Road vehicles (incl. air-cushion vehicles) ;,34412,Imports
2017,78 Road vehicles (incl. air-cushion vehicles) ;,37308,Imports
2018,78 Road vehicles (incl. air-cushion vehicles) ;,39091,Imports
2019,78 Road vehicles (incl. air-cushion vehicles) ;,37286,Imports
2020,78 Road vehicles (incl. air-cushion vehicles) ;,33502,Imports
2021,78 Road vehicles (incl. air-cushion vehicles) ;,42876,Imports
2022,78 Road vehicles (incl. air-cushion vehicles) ;,50050,Imports
2023,78 Road vehicles (incl. air-cushion vehicles) ;,62922,Imports
2024,78 Road vehicles (incl. air-cushion vehicles) ;,62033,Imports
2014,79 Transport equipment (excl. road vehicles) ;,3003,Imports
2015,79 Transport equipment (excl. road vehicles) ;,2688,Imports
2016,79 Transport equipment (excl. road vehicles) ;,4295,Imports
2017,79 Transport equipment (excl. road vehicles) ;,12266,Imports
2018,79 Transport equipment (excl. road vehicles) ;,4294,Imports
2019,79 Transport equipment (excl. road vehicles) ;,5660,Imports
2020,79 Transport equipment (excl. road vehicles) ;,5595,Imports
2021,79 Transport equipment (excl. road vehicles) ;,5759,Imports
2022,79 Transport equipment (excl. road vehicles) ;,5454,Imports
2023,79 Transport equipment (excl. road vehicles) ;,5995,Imports
2024,79 Transport equipment (excl. road vehicles) ;,7213,Imports
2014,8 Miscellaneous manufactured articles ;,34800,Imports
2015,8 Miscellaneous manufactured articles ;,40375,Imports
2016,8 Miscellaneous manufactured articles ;,40365,Imports
2017,8 Miscellaneous manufactured articles ;,40571,Imports
2018,8 Miscellaneous manufactured articles ;,44299,Imports
2019,8 Miscellaneous manufactured articles ;,46308,Imports
2020,8 Miscellaneous manufactured articles ;,46038,Imports
2021,8 Miscellaneous manufactured articles ;,50131,Imports
2022,8 Miscellaneous manufactured articles ;,57476,Imports
2023,8 Miscellaneous manufactured articles ;,55698,Imports
2024,8 Miscellaneous manufactured articles ;,59314,Imports
2014,"81 Prefabricated buildings and sanitary, plumbing, heating and lighting fixtures and fittings, nes ;",1425,Imports
2015,"81 Prefabricated buildings and sanitary, plumbing, heating and lighting fixtures and fittings, nes ;",1685,Imports
2016,"81 Prefabricated buildings and sanitary, plumbing, heating and lighting fixtures and fittings, nes ;",1661,Imports
2017,"81 Prefabricated buildings and sanitary, plumbing, heating and lighting fixtures and fittings, nes ;",1629,Imports
2018,"81 Prefabricated buildings and sanitary, plumbing, heating and lighting fixtures and fittings, nes ;",1789,Imports
2019,"81 Prefabricated buildings and sanitary, plumbing, heating and lighting fixtures and fittings, nes ;",1742,Imports
2020,"81 Prefabricated buildings and sanitary, plumbing, heating and lighting fixtures and fittings, nes ;",1726,Imports
2021,"81 Prefabricated buildings and sanitary, plumbing, heating and lighting fixtures and fittings, nes ;",1958,Imports
2022,"81 Prefabricated buildings and sanitary, plumbing, heating and lighting fixtures and fittings, nes ;",2136,Imports
2023,"81 Prefabricated buildings and sanitary, plumbing, heating and lighting fixtures and fittings, nes ;",1960,Imports
2024,"81 Prefabricated buildings and sanitary, plumbing, heating and lighting fixtures and fittings, nes ;",1973,Imports
2014,"82 Furniture and parts thereof; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings ;",3625,Imports
2015,"82 Furniture and parts thereof; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings ;",4337,Imports
2016,"82 Furniture and parts thereof; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings ;",4276,Imports
2017,"82 Furniture and parts thereof; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings ;",4256,Imports
2018,"82 Furniture and parts thereof; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings ;",4874,Imports
2019,"82 Furniture and parts thereof; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings ;",4983,Imports
2020,"82 Furniture and parts thereof; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings ;",5224,Imports
2021,"82 Furniture and parts thereof; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings ;",5647,Imports
2022,"82 Furniture and parts thereof; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings ;",6266,Imports
2023,"82 Furniture and parts thereof; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings ;",5336,Imports
2024,"82 Furniture and parts thereof; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings ;",5994,Imports
2014,"83 Travel goods, handbags and similar containers ;",1177,Imports
2015,"83 Travel goods, handbags and similar containers ;",1405,Imports
2016,"83 Travel goods, handbags and similar containers ;",1462,Imports
2017,"83 Travel goods, handbags and similar containers ;",1537,Imports
2018,"83 Travel goods, handbags and similar containers ;",1843,Imports
2019,"83 Travel goods, handbags and similar containers ;",1886,Imports
2020,"83 Travel goods, handbags and similar containers ;",1512,Imports
2021,"83 Travel goods, handbags and similar containers ;",1632,Imports
2022,"83 Travel goods, handbags and similar containers ;",2203,Imports
2023,"83 Travel goods, handbags and similar containers ;",2249,Imports
2024,"83 Travel goods, handbags and similar containers ;",2215,Imports
2014,84 Articles of apparel and clothing accessories ;,7251,Imports
2015,84 Articles of apparel and clothing accessories ;,8808,Imports
2016,84 Articles of apparel and clothing accessories ;,8611,Imports
2017,84 Articles of apparel and clothing accessories ;,8736,Imports
2018,84 Articles of apparel and clothing accessories ;,9479,Imports
2019,84 Articles of apparel and clothing accessories ;,10205,Imports
2020,84 Articles of apparel and clothing accessories ;,10186,Imports
2021,84 Articles of apparel and clothing accessories ;,10984,Imports
2022,84 Articles of apparel and clothing accessories ;,12829,Imports
2023,84 Articles of apparel and clothing accessories ;,12165,Imports
2024,84 Articles of apparel and clothing accessories ;,12814,Imports
2014,85 Footwear ;,1781,Imports
2015,85 Footwear ;,2219,Imports
2016,85 Footwear ;,2202,Imports
2017,85 Footwear ;,2177,Imports
2018,85 Footwear ;,2324,Imports
2019,85 Footwear ;,2564,Imports
2020,85 Footwear ;,2107,Imports
2021,85 Footwear ;,2411,Imports
2022,85 Footwear ;,3104,Imports
2023,85 Footwear ;,2886,Imports
2024,85 Footwear ;,2948,Imports
2014,"87 Professional, scientific and controlling instruments and apparatus, nes ;",5968,Imports
2015,"87 Professional, scientific and controlling instruments and apparatus, nes ;",6594,Imports
2016,"87 Professional, scientific and controlling instruments and apparatus, nes ;",6756,Imports
2017,"87 Professional, scientific and controlling instruments and apparatus, nes ;",6544,Imports
2018,"87 Professional, scientific and controlling instruments and apparatus, nes ;",7364,Imports
2019,"87 Professional, scientific and controlling instruments and apparatus, nes ;",7726,Imports
2020,"87 Professional, scientific and controlling instruments and apparatus, nes ;",7758,Imports
2021,"87 Professional, scientific and controlling instruments and apparatus, nes ;",8175,Imports
2022,"87 Professional, scientific and controlling instruments and apparatus, nes ;",9104,Imports
2023,"87 Professional, scientific and controlling instruments and apparatus, nes ;",10010,Imports
2024,"87 Professional, scientific and controlling instruments and apparatus, nes ;",10291,Imports
2014,"88 Photographic apparatus, equipment and supplies and optical goods, nes; watches and clocks ;",1716,Imports
2015,"88 Photographic apparatus, equipment and supplies and optical goods, nes; watches and clocks ;",2081,Imports
2016,"88 Photographic apparatus, equipment and supplies and optical goods, nes; watches and clocks ;",1853,Imports
2017,"88 Photographic apparatus, equipment and supplies and optical goods, nes; watches and clocks ;",1821,Imports
2018,"88 Photographic apparatus, equipment and supplies and optical goods, nes; watches and clocks ;",1934,Imports
2019,"88 Photographic apparatus, equipment and supplies and optical goods, nes; watches and clocks ;",2078,Imports
2020,"88 Photographic apparatus, equipment and supplies and optical goods, nes; watches and clocks ;",1879,Imports
2021,"88 Photographic apparatus, equipment and supplies and optical goods, nes; watches and clocks ;",2067,Imports
2022,"88 Photographic apparatus, equipment and supplies and optical goods, nes; watches and clocks ;",2481,Imports
2023,"88 Photographic apparatus, equipment and supplies and optical goods, nes; watches and clocks ;",2601,Imports
2024,"88 Photographic apparatus, equipment and supplies and optical goods, nes; watches and clocks ;",2712,Imports
2014,"89 Miscellaneous manufactured articles, nes ;",11859,Imports
2015,"89 Miscellaneous manufactured articles, nes ;",13248,Imports
2016,"89 Miscellaneous manufactured articles, nes ;",13547,Imports
2017,"89 Miscellaneous manufactured articles, nes ;",13867,Imports
2018,"89 Miscellaneous manufactured articles, nes ;",14691,Imports
2019,"89 Miscellaneous manufactured articles, nes ;",15133,Imports
2020,"89 Miscellaneous manufactured articles, nes ;",15649,Imports
2021,"89 Miscellaneous manufactured articles, nes ;",17260,Imports
2022,"89 Miscellaneous manufactured articles, nes ;",19352,Imports
2023,"89 Miscellaneous manufactured articles, nes ;",18494,Imports
2024,"89 Miscellaneous manufactured articles, nes ;",20362,Imports
2014,9 Commodities and transactions not classified elsewhere in the SITC ;,10846,Imports
2015,9 Commodities and transactions not classified elsewhere in the SITC ;,11424,Imports
2016,9 Commodities and transactions not classified elsewhere in the SITC ;,9962,Imports
2017,9 Commodities and transactions not classified elsewhere in the SITC ;,21397,Imports
2018,9 Commodities and transactions not classified elsewhere in the SITC ;,12140,Imports
2019,9 Commodities and transactions not classified elsewhere in the SITC ;,11251,Imports
2020,9 Commodities and transactions not classified elsewhere in the SITC ;,11914,Imports
2021,9 Commodities and transactions not classified elsewhere in the SITC ;,11211,Imports
2022,9 Commodities and transactions not classified elsewhere in the SITC ;,12292,Imports
2023,9 Commodities and transactions not classified elsewhere in the SITC ;,12575,Imports
2024,9 Commodities and transactions not classified elsewhere in the SITC ;,13508,Imports
2014,93 Special transactions and commodities not classified according to kind ;,8,Imports
2015,93 Special transactions and commodities not classified according to kind ;,5,Imports
2016,93 Special transactions and commodities not classified according to kind ;,4,Imports
2017,93 Special transactions and commodities not classified according to kind ;,12,Imports
2018,93 Special transactions and commodities not classified according to kind ;,5,Imports
2019,93 Special transactions and commodities not classified according to kind ;,5,Imports
